pdf_file,page_number,image_file,xref,width,height,context_snippet
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,1,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_1_img1.png,12,689,900,Neuroeconomics How our brain decides
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,3,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_3_img1.png,25,512,512,Conceptual map History TMS Lesions  Electrical stimulation fMRI EEG and  MEG Single-cell recordings • Lack of rationality • We are social animals METHODS of neuroeconomic  and decision making Allais Paradox Asian Disease...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,3,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_3_img2.png,27,313,500,Conceptual map History TMS Lesions  Electrical stimulation fMRI EEG and  MEG Single-cell recordings • Lack of rationality • We are social animals METHODS of neuroeconomic  and decision making Allais Paradox Asian Disease...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,3,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_3_img3.png,28,412,350,Conceptual map History TMS Lesions  Electrical stimulation fMRI EEG and  MEG Single-cell recordings • Lack of rationality • We are social animals METHODS of neuroeconomic  and decision making Allais Paradox Asian Disease...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,7,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_7_img1.png,27,313,500,Evolution of economic Classical period of  economic theory • In order to understand the evolution of neuroeconomics we  have to go back to the evolution of economic • The birth of economic is often traced to Adam Smith’s...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,8,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_8_img1.png,59,400,400,Evolution of economic • Price is the amount paid for acquiring any product or  service. • Cost is the amount incurred in producing and  maintaining the product. • Value is the utility of a good or service for a customer....
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,8,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_8_img2.png,60,359,359,Evolution of economic • Price is the amount paid for acquiring any product or  service. • Cost is the amount incurred in producing and  maintaining the product. • Value is the utility of a good or service for a customer....
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,8,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_8_img3.png,62,216,174,Evolution of economic • Price is the amount paid for acquiring any product or  service. • Cost is the amount incurred in producing and  maintaining the product. • Value is the utility of a good or service for a customer....
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,9,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_9_img1.png,66,211,209,"PRICE • Price is the consideration given in return for acquiring  a good or service. In a commercial transaction, price  refers to the amount charged by the seller from the  buyer, in exchange for any product or service,..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,9,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_9_img2.png,59,400,400,"PRICE • Price is the consideration given in return for acquiring  a good or service. In a commercial transaction, price  refers to the amount charged by the seller from the  buyer, in exchange for any product or service,..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,10,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_10_img1.png,60,359,359,"COST • The cost can be defined as the total amount spent on  the inputs like land, labour, capital, machinery,  material, etc. with an aim of producing the product  or supplying the services. It can be anything which  ad..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,10,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_10_img2.png,69,732,732,"COST • The cost can be defined as the total amount spent on  the inputs like land, labour, capital, machinery,  material, etc. with an aim of producing the product  or supplying the services. It can be anything which  ad..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,11,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_11_img1.png,62,216,174,"Value • Value can be described as the benefit derived by the customer from  the product or service. In clearer terms, value is what a customer  perceives the product or service is worth to them. • Characteristics: 1. Imm..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,11,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_11_img2.png,75,180,103,"Value • Value can be described as the benefit derived by the customer from  the product or service. In clearer terms, value is what a customer  perceives the product or service is worth to them. • Characteristics: 1. Imm..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,11,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_11_img3.png,76,222,116,"Value • Value can be described as the benefit derived by the customer from  the product or service. In clearer terms, value is what a customer  perceives the product or service is worth to them. • Characteristics: 1. Imm..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,12,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_12_img1.png,80,168,121,"Evolution of economy Edgeworth, Ramsey,  Fisher →hedonimeter (tool to infer value from  physical signals) Samuelson  →mathematical structure of consumer choice and  behavior in markets  - WARP (Weak Axiom of Revealed Pre..."
