source_type,source,candidate_id,score,context_snippet
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=1,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=2,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=3,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=4,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=5,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=6,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=7,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=8,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=9,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=10,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=11,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=12,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=13,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=14,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=15,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=16,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=17,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=18,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=19,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=20,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=21,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=22,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=23,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=24,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=25,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=26,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=27,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=28,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=29,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=30,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=31,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=32,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=33,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=34,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=35,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=36,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=37,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=38,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=39,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=40,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=41,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=42,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=43,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=44,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=45,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=46,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=47,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=48,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=49,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=50,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=51,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=52,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=53,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=54,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=55,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=56,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=57,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=58,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=59,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=60,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=61,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=62,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=63,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=64,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=65,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=66,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=67,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=68,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=69,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=70,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=71,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=72,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=73,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=74,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=75,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=76,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=77,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=78,M1-Q03,0.050,
pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=79,M1-Q03,0.050,
