rank,source_type,source,candidate_id,score,context_snippet,suggested_id,reason
1,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=1,M1-Q03,0.050,,,
2,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=2,M1-Q03,0.050,,,
3,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=3,M1-Q03,0.050,,,
4,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=4,M1-Q03,0.050,,,
5,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=5,M1-Q03,0.050,,,
6,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=6,M1-Q03,0.050,,,
7,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=7,M1-Q03,0.050,,,
8,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=8,M1-Q03,0.050,,,
9,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=9,M1-Q03,0.050,,,
10,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=10,M1-Q03,0.050,,,
11,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=11,M1-Q03,0.050,,,
12,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=12,M1-Q03,0.050,,,
13,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=13,M1-Q03,0.050,,,
14,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=14,M1-Q03,0.050,,,
15,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=15,M1-Q03,0.050,,,
16,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=16,M1-Q03,0.050,,,
17,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=17,M1-Q03,0.050,,,
18,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=18,M1-Q03,0.050,,,
19,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=19,M1-Q03,0.050,,,
20,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=20,M1-Q03,0.050,,,
21,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=21,M1-Q03,0.050,,,
22,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=22,M1-Q03,0.050,,,
23,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=23,M1-Q03,0.050,,,
24,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=24,M1-Q03,0.050,,,
25,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=25,M1-Q03,0.050,,,
26,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=26,M1-Q03,0.050,,,
27,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=27,M1-Q03,0.050,,,
28,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=28,M1-Q03,0.050,,,
29,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=29,M1-Q03,0.050,,,
30,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=30,M1-Q03,0.050,,,
31,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=31,M1-Q03,0.050,,,
32,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=32,M1-Q03,0.050,,,
33,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=33,M1-Q03,0.050,,,
34,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=34,M1-Q03,0.050,,,
35,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=35,M1-Q03,0.050,,,
36,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=36,M1-Q03,0.050,,,
37,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=37,M1-Q03,0.050,,,
38,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=38,M1-Q03,0.050,,,
39,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=39,M1-Q03,0.050,,,
40,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=40,M1-Q03,0.050,,,
41,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=41,M1-Q03,0.050,,,
42,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=42,M1-Q03,0.050,,,
43,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=43,M1-Q03,0.050,,,
44,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=44,M1-Q03,0.050,,,
45,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=45,M1-Q03,0.050,,,
46,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=46,M1-Q03,0.050,,,
47,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=47,M1-Q03,0.050,,,
48,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=48,M1-Q03,0.050,,,
49,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=49,M1-Q03,0.050,,,
50,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=50,M1-Q03,0.050,,,
51,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=51,M1-Q03,0.050,,,
52,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=52,M1-Q03,0.050,,,
53,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=53,M1-Q03,0.050,,,
54,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=54,M1-Q03,0.050,,,
55,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=55,M1-Q03,0.050,,,
56,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=56,M1-Q03,0.050,,,
57,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=57,M1-Q03,0.050,,,
58,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=58,M1-Q03,0.050,,,
59,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=59,M1-Q03,0.050,,,
60,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=60,M1-Q03,0.050,,,
61,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=61,M1-Q03,0.050,,,
62,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=62,M1-Q03,0.050,,,
