rank,source_type,source,candidate_id,score,context_snippet,suggested_id,reason
1,rtf_qid,RTF:Q2.2,M4-Q02,0.375,Module 1 - General,M1-Q02,"Context mentions ""Module 1""; remap M4 -> M1 keeping Q number."
2,rtf_qid,RTF:Q4.2,M4-Q09,0.375,Module 1 - General,M1-Q09,"Context mentions ""Module 1""; remap M4 -> M1 keeping Q number."
3,rtf_qid,RTF:Q2.2,M4-Q02,0.375,Part 2 - Specific Studies,,
4,rtf_qid,RTF:Q4.2,M4-Q09,0.375,Part 2 - Specific Studies,,
5,rtf_qid,RTF:Q2.2,M4-Q02,0.375,Part 3 - Circuitry,,
6,rtf_qid,RTF:Q4.2,M4-Q09,0.375,Part 3 - Circuitry,,
7,rtf_qid,RTF:Q2.2,M4-Q02,0.375,Module 3 - Mind Change,,Context mentions Module 3; no automatic suggestion.
8,rtf_qid,RTF:Q4.2,M4-Q09,0.375,Module 3 - Mind Change,,Context mentions Module 3; no automatic suggestion.
9,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30,M4-Q16,0.373,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
10,rtf_qid,RTF:Q5.2,M4-Q05,0.364,Module 1 - General,M1-Q05,"Context mentions ""Module 1""; remap M4 -> M1 keeping Q number."
11,rtf_qid,RTF:Q5.2,M4-Q05,0.364,Part 3 - Circuitry,,
12,rtf_qid,RTF:Q5.2,M4-Q05,0.364,Module 3 - Mind Change,,Context mentions Module 3; no automatic suggestion.
13,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29,M4-Q16,0.356,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
14,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=93,M4-Q22,0.310,PSYCHOLOGICAL MECHANISMS • Theoretical aspects: –Expectation: models –Conditioning: – Classical – Operant – Social • From theory to practice: placebo effect studies,,
15,pdf_page,MODULE 3_MindChange_part1#page=3,M3-Q15,0.309,Summary • Change of the World: from 3D to 2D • How our brain works and changes • Effects of the digital world on identity and relationship • Effects of the digital world on free time and aggressivity • Effects of the digital world on memory and learning,,
16,pdf_page,MODULE 3_MindChange_part1#page=15,M3-Q15,0.309,Summary • Change of the World: from 3D to 2D • How our brain works and changes • Effects of the digital world on identity and relationship • Effects of the digital world on free time and aggressivity • Effects of the digital world on memory and learning,,
17,pdf_page,MODULE 3_MindChange_part1#page=39,M3-Q15,0.309,Summary • Change of the World: from 3D to 2D • How our brain works and changes • Effects of the digital world on identity and relationship • Effects of the digital world on free time and aggressivity • Effects of the digital world on memory and learning,,
